name	employer
U1313	discovery education
U1313	ctb mcgraw-hill
U1313	university of charleston university of south carolina
U1313	south carolina department of education
U1313	chesapeake va and sumter sc
U1313	virgina state corrections
U8804	gruppo euris spa
U8804	iconsulting
U8804	econoetica
U8804	universit&#xe0; di bologna
U8804	university of illinois at urbana-champaign
U2649	bocom international
U2649	inventiv health
U2649	glaxosmithkline plc
U2649	zhongrong international trust co. ltd
U7310	microsoft
U7310	illinois computer technology
U7310	university of illinois at urbana-champaign
U7310	state farm insurance
U22859	amazon
U22859	ibm india research lab
U22859	coordinated science lab
U22859	toyota technical center
U1417	designing events
U25611	bluegranite
U25611	measured progress
U25611	sweetser
U3895	vertica systems an hp company
U3895	morgan stanley
U3895	microsoft
U3895	google
U13005	illinois state university
U13005	university of illinois at urbana-champaign
U9140	university of illinois at urbana-champaign
U9140	instituno nacional de estudos e pesquisas educacionais an&#xed;sio teixeira - inep
U9140	ipea
U16112	pwc
U7092	dropbox
U7092	orchestra inc.
U7092	hewlett-packard
U7092	state farm research and development center
U7092	university of illinois at urbana-champaign
U15272	uc berkeley
U15272	msr redmond
U15272	msr cambridge
U15272	university of waterloo
U15272	information engineers and consultants bangladesh ltd.
U3933	generalbiologic
U3933	hubs1
U3933	woyo.com
U3933	izenesoft (shanghai) co. ltd
U11562	university of illinois at urbana-champaign
U11562	microsoft
U11562	facebook
U22071	chicago public schools
U22071	illinois wesleyan development department
U22071	children&#x2019;s discovery museum
U22071	martin flory group
U15292	university of illinois at urbana-champaign
U15292	illinois state water survey prairie research institute
U15292	oklahoma state university
U15292	british american tobacco
U15292	bangladesh university of engineering &amp; technology
U15292	bangladesh insulation &amp; sanitary factory (bisf)
U14498	northern illinois university
U14498	university of wisconsin-madison
U14498	west virginia university
U21990	walmart
U21990	gilly hicks
U21990	campus recreation
U24252	viasat
U24252	george mason university
U12969	mckinley health center
U12969	university of illinois at urbana-champaign
U12969	all saints lutheran church
U12969	american cancer society
U12969	plush horse ice cream parlor
U27582	s&amp;p capital iq
U27582	university of illinois at urbana-champaign
U27582	kingtek corporation
U8029	presque isle county sheriff department
U27283	epic
U27283	bagtheweb inc.
U27283	university of illinois at urbana-champaign
U25619	humanex ventures
U25619	assessment learning and technology solutions (alts)
U25619	oasis institute of higher education
U25619	james madison university
U25619	gallup organization
U25619	presentation college san fernando
U25619	siparia senior comprehensive school
U2661	university of chicago
U2661	shanghai jiao tong university
U2661	microsoft research asia
U8000	aerofoams industries inc
U11591	office of community college research and leadership at university of illinois
U11591	family resiliency center uiuc
U11591	department of kinesiology and community health
U11591	department of educational psychology
U11591	chinese proficiency test center
U11591	beijing language and culture university
U27585	apple
U27585	university of pittsburgh school of information science
U27585	haoban digital co.
U1441	pacific metrics
U1441	pearson
U1441	james madison university
U1441	aicpa
U1441	guilford day school
U1441	guilford county schools
U2714	university of illinois at chicago
U2714	pohang university of science and technology
U18934	benjamin an and co. p.c.
U4638	broadcom
U4638	ucla
U4638	marvell
U7379	wood rodgers inc.
U7379	university of illinois at urbana-champaign
U7379	international water resources association
