name	college
U22041	university of illinois at urbana-champaign
U27476	shanghai jiao tong university
U4665	university of illinois at urbana-champaign
U1313	longwood university
U8804	universit&#xe0; di bologna
U15946	indian institute of technology bombay
U2136	university of illinois at urbana-champaign
U9721	university of illinois at urbana-champaign
U1380	georgetown university
U2649	shanghai university of finance and economics
U27759	southeast university
U7310	university of illinois at urbana-champaign
U22859	indian institute of technology madras
U2108	university of illinois at urbana-champaign
U11575	shanghai jiao tong university
U25611	university of southern maine
U25611	penn high school
U24095	dalian university of technology
U2631	beihang university
U3895	shanghai jiao tong university
U13005	university of illinois at urbana-champaign
U9709	university of illinois at urbana-champaign
U9140	sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;
U9724	university of illinois at urbana-champaign
U27708	beijing jiaotong university
U18954	huazhong university of science and technology
U24549	jadavpur university
U18514	university of illinois at urbana-champaign
U18514	university of florida
U15272	bangladesh university of engineering and technology
U10068	southern illinois university carbondale
U7198	lnm institute of information technology jaipur
U3933	shanghai jiao tong university
U2622	wuhan university
U15267	university of illinois at urbana-champaign
U15267	bangladesh university of engineering and technology
U25630	fitchburg state university
U16127	university of illinois at urbana-champaign
U22031	university of illinois at urbana-champaign
U11562	shanghai jiao tong university
U22071	illinois wesleyan university
U15292	bangladesh university of engineering and technology
U7912	anhui university
U22018	university of illinois at urbana-champaign
U24263	university of illinois at urbana-champaign
U14499	university of minnesota-twin cities
U18925	beihang university
U7136	university of illinois at urbana-champaign
U22753	birla institute of technology and science
U1196	cornell university
U14498	northern illinois university
U21990	university of illinois at urbana-champaign - college of business
U16128	peking university
U1381	carleton university
U16101	tongji university
U22087	university of illinois at urbana-champaign
U7347	university of illinois at urbana-champaign
U24252	isfahan university of technology
U7355	university of illinois at urbana-champaign
U12969	university of illinois at urbana-champaign
U7151	university of illinois at urbana-champaign
U11815	university of illinois at urbana-champaign - college of business
U14119	indian institute of technology roorkee
U7270	university of illinois at urbana-champaign
U27582	university of illinois at urbana-champaign
U27464	fudan university
U27801	shanghai jiao tong university
U6001	southern illinois university carbondale
U21995	university of illinois at urbana-champaign
U27516	university of illinois at urbana-champaign
U27283	university of illinois at urbana-champaign
U5981	university of illinois at urbana-champaign
U14150	university of illinois at urbana-champaign
U7077	university of california berkeley
U15359	bangladesh university of engineering and technology
U9649	university of illinois at urbana-champaign
U22747	university of illinois at urbana-champaign
U22747	birla institute of technology
U24092	university of illinois at urbana-champaign
U24092	troy university
U25619	university of west indies st. augustine campus
U2661	shanghai jiao tong university
U14121	athens university of economics and business
U7917	national chengchi university
U24143	hanoi university of science and technology
U18916	beijing university of civil engineering and architecture
U14500	university of illinois at urbana-champaign
U25559	university of illinois at urbana-champaign
U7349	university of illinois at urbana-champaign
U15919	indian institute of technology bombay
U11591	university of illinois at urbana-champaign
U11591	beijing language and culture university
U27585	east china normal university software engineering institute
U3894	shanghai jiao tong university
