name	location
U27476	greater new york city area
U4665	greater chicago area
U1313	norfolk virginia area
U8804	bologna area italy
U14078	stockholm sweden
U9628	greater los angeles area
U9721	urbana-champaign illinois area
U6021	urbana-champaign illinois area
U27759	urbana-champaign illinois area
U7310	greater seattle area
U22859	bengaluru area india
U1417	baltimore maryland area
U25611	greater boston area
U24095	greater chicago area
U3895	greater boston area
U13005	bloomington normal illinois area
U2620	urbana-champaign illinois area
U4249	urbana-champaign illinois area
U9140	urbana-champaign illinois area
U16112	china
U9724	urbana-champaign illinois area
U27708	beijing city china
U18954	greater chicago area
U24549	san francisco bay area
U18514	urbana-champaign illinois area
U15272	san francisco bay area
U3933	shanghai city china
U15946	bengaluru area india
U25630	greater boston area
U25632	davenport iowa area
U22031	greater chicago area
U11562	urbana-champaign illinois area
U22071	greater chicago area
U15292	urbana-champaign illinois area
U7912	urbana-champaign illinois area
U22018	kansas city missouri area
U18925	beijing city china
U7136	san francisco bay area
U8741	urbana-champaign illinois area
U21990	greater chicago area
U3927	china
U1381	ottawa canada area
U22753	hyderabad area india
U22087	greater atlanta area
U27804	china
U24252	washington d.c. metro area
U7355	urbana-champaign illinois area
U12969	greater chicago area
U2180	urbana-champaign illinois area
U14024	urbana-champaign illinois area
U4447	greater minneapolis-st. paul area
U27679	china
U27582	urbana-champaign illinois area
U27464	china
U8029	saginaw michigan area
U1075	greater new york city area
U24259	greater seattle area
U18564	greater seattle area
U27283	ithaca new york area
U11575	san francisco bay area
U14507	urbana-champaign illinois area
U27477	greater seattle area
U25619	lincoln nebraska area
U2661	greater chicago area
U24143	urbana-champaign illinois area
U8000	greater los angeles area
U22015	rockford illinois area
U24152	finland
U11591	urbana-champaign illinois area
U27585	san francisco bay area
U27498	lafayette indiana area
U14520	urbana-champaign illinois area
U1441	tulsa oklahoma area
U2714	greater chicago area
U8051	greater st. louis area
U27300	urbana-champaign illinois area
U9149	greater boston area
U18934	columbia missouri area
U18948	indianapolis indiana area
U4600	knoxville tennessee area
U14531	urbana-champaign illinois area
U7379	sacramento california area
U7192	urbana-champaign illinois area
U15289	birmingham alabama area
U22817	greater los angeles area
U24165	greater san diego area
U1108	austin texas area
U14015	greater seattle area
U15329	bangladesh
U24080	urbana-champaign illinois area
U1073	greater new york city area
U18981	urbana-champaign illinois area
U19856	greater chicago area
U4456	urbana-champaign illinois area
U4012	san francisco bay area
U3958	greater boston area
U14117	copenhagen area denmark
U24046	urbana-champaign illinois area
U3954	orange county california area
U18562	miami fort lauderdale area
U11564	greater new york city area
U7087	greater chicago area
U15173	san francisco bay area
U7380	urbana-champaign illinois area
U15318	bangladesh
U7226	greater new york city area
U27460	san francisco bay area
U7213	singapore
U27711	urbana-champaign illinois area
U11558	san francisco bay area
U2625	beijing city china
U11609	beijing city china
U25634	washington d.c. metro area
U7104	greater seattle area
U14575	urbana-champaign illinois area
U15284	urbana-champaign illinois area
U7279	urbana-champaign illinois area
U3971	beijing city china
U4625	greater boston area
U1045	greater boston area
U16132	greater salt lake city area
U27971	greater chicago area
U7151	san francisco bay area
U7153	greater san diego area
U8086	united states
U7390	urbana-champaign illinois area
U27661	san francisco bay area
U8018	urbana-champaign illinois area
U27752	greater chicago area
U13993	greater los angeles area
U22011	urbana-champaign illinois area
U27758	san francisco bay area
U18914	beijing city china
U14057	urbana-champaign illinois area
U9130	urbana-champaign illinois area
U24254	united arab emirates
U14572	united states
U8710	urbana-champaign illinois area
U9660	urbana-champaign illinois area
U15501	urbana-champaign illinois area
U9706	urbana-champaign illinois area
U2136	greater chicago area
U22824	portland oregon area
U1259	greater minneapolis-st. paul area
U22780	bengaluru area india
U15325	london united kingdom
U7199	urbana-champaign illinois area
U22825	san francisco bay area
U10051	greater chicago area
U19842	greater chicago area
U27657	austin texas area
U4634	urbana-champaign illinois area
U1220	albany new york area
U4607	washington d.c. metro area
U19913	davenport iowa area
U27553	shanghai city china
U1068	united states
U14555	greater chicago area
U9154	urbana-champaign illinois area
U8004	decatur illinois area
U27676	urbana-champaign illinois area
U14029	san francisco bay area
U24062	china
U24077	urbana-champaign illinois area
U1252	greater boston area
U27636	greater philadelphia area
U7967	urbana-champaign illinois area
U27463	greater new york city area
U15168	urbana-champaign illinois area
U27588	san francisco bay area
U13988	urbana-champaign illinois area
U14665	urbana-champaign illinois area
U18943	china
U27614	san francisco bay area
U24117	ithaca new york area
U1136	greater new york city area
U8699	urbana-champaign illinois area
U7194	san francisco bay area
U15321	singapore
U22076	urbana-champaign illinois area
U24128	charlotte north carolina area
U22055	united arab emirates
U24205	greater new york city area
U7227	urbana-champaign illinois area
U24263	urbana-champaign illinois area
U4613	urbana-champaign illinois area
U8054	urbana-champaign illinois area
U7307	san francisco bay area
U4457	urbana-champaign illinois area
U15299	bangladesh
U18545	gainesville florida area
U15193	greater nashville area
U18588	west palm beach florida area
U18539	urbana-champaign illinois area
U27541	greater san diego area
U9655	greater chicago area
